task,model,accuracy,precision,recall,f1,roc_auc,training_seconds,training_rows,rmse,mae,r2
classification,Logistic Regression,0.8766666666666667,0.8524473026080743,0.8794692222631773,0.8657474600870827,0.952869545734736,0.45443474700005027,24000,,,
classification,Decision Tree,0.8811666666666667,0.85486160397445,0.8879469222263178,0.8710902187669499,0.9400803868202217,0.2815988730000072,24000,,,
classification,Random Forest,0.9121666666666667,0.9036189069423929,0.901953556948028,0.902785463936543,0.97534647935085,0.8606050500000038,24000,,,
classification,Extra Trees,0.9,0.8818214672930972,0.8993733873940287,0.8905109489051095,0.9693041795517218,0.5867844319999449,24000,,,
classification,Gaussian Naive Bayes,0.7976666666666666,0.772843101565344,0.7825285661629193,0.7776556776556777,0.876293827362895,0.11287923099996533,24000,,,
regression,Linear Regression,,,,,,0.1025903439999638,24000,10.003513421732865,7.3334372062819835,0.9978709152385433
regression,Ridge Regression,,,,,,0.1527538509999431,24000,10.003513258825473,7.333420829069093,0.9978709153078876
regression,Decision Tree,,,,,,0.3606640689999949,24000,10.867694496365834,7.778383836959098,0.9974871725014489
regression,Random Forest,,,,,,2.4510566210000206,24000,7.541022352761714,5.3921371183421725,0.998790103307627
regression,Extra Trees,,,,,,1.919024701000012,24000,5.749691968408706,4.126346364293276,0.9992966410947567
