feature,importance
Infrastructure_Score,0.22569810459597656
Public_Transport_Accessibility,0.15233194802299438
Availability_Status,0.10176395367813633
Price_per_SqFt,0.04887377600589469
Nearby_Schools,0.04304301887645119
Parking_Space,0.041914133536833556
Amenity_Count,0.0411336012406332
Security,0.04033196156616231
Age_of_Property,0.03893041814917522
Year_Built,0.03739762544017435
Price_in_Lakhs,0.02931924944581096
Amenity_Density_Score,0.02707297423421351
Size_in_SqFt,0.026168885721735972
Nearby_Hospitals,0.023067106828466088
Locality,0.015422656502248855
City,0.013202692568411134
Floor_No,0.011891137507285352
Total_Floors,0.011794371184941982
State,0.010688391041473327
Floor_Ratio,0.009680499139088434
BHK,0.0067729496080605545
Has_Playground,0.0066463710205149455
Facing,0.005558753017753056
Owner_Type,0.005156559006402551
Furnished_Status,0.004876091728432711
Has_Garden,0.00476141872150557
Property_Type,0.004756861309760085
Has_Clubhouse,0.004308401402993928
Has_Gym,0.0038609336556591385
Has_Pool,0.0035751552428100204
